tenderID,title,cpvs,complaints,complaints.status,questions,answer,documents,methodType,value,procuringEntity,status,region
UA-2017-02-07-000925-c,"Виконання робіт з розробки проектної документації для виконання робіт з оснащення інженерних вводів житлових будинків комунальної форми власності, житлово-будівельних кооперативів та об’єднань співвласників багатоквартирних будинків теплолічильниками разом з програмно-апаратною частиною диспетчеризації» в кількості 16 об’єктів. Код ДСТУ Б Д.1.1-1:2013.",450,0,0,0,0,3,belowThreshold,103598,25772436,active,16
UA-2017-02-21-002841-c,Продукція для чищення,398,0,0,0,0,5,belowThreshold,18000,2009407,unsuccessful,460
UA-2017-02-05-000065-b,"ДК 021:2015 “09210000-4 Мастильні засоби"" ""Мастильні оливи та мастильні матеріали""",92,0,0,3,3,4,belowThreshold,133100,40940113,complete,875
UA-2017-02-09-001364-c,УГСБМ17(Т)-014_33196000-0 - Аптечки першої медичної допомоги,331,0,0,0,0,5,belowThreshold,98850,33601981,complete,633
UA-2017-02-24-000409-c,"44520000-1 Замки, ключі та петлі",445,0,0,0,0,6,belowThreshold,7650,3188375,complete,535
UA-2017-02-03-001326-c,Фармацевтична продукція,336,0,0,0,0,3,aboveThresholdUA,335000,2005778,unsuccessful,580
UA-2017-02-15-000454-b,Медичні бланки,228,0,0,2,2,9,belowThreshold,20795,2774119,unsuccessful,124
UA-2017-02-07-001147-c,ДК 021:2015 - 44110000-4 конструкційні матеріали,441,0,0,1,1,5,belowThreshold,95000,2071205,complete,610
UA-2017-02-16-002721-c,"Послуги з технічного огляду та випробовувань (експертне обстеження (технічне діагностування) устаткування головних вентиляторів установок головного провітрювання шахт, устаткування шахтних підйомних установок (підйомні машини, копрові шківи, підйомні посудини, парашути та підвісні пристрої))",716,0,0,1,1,3,belowThreshold,300000,379790,active,845
UA-2017-02-14-001273-c,Кондиціонери,397,0,0,4,4,2,belowThreshold,16400,39408088,active,31
